"element","sp_num","obs_wl_air(nm)","unc_obs_wl","ritz_wl_air(nm)","unc_ritz_wl","wn(cm-1)","intens","Aki(s^-1)","Acc","Ei(cm-1)","Ek(cm-1)","conf_i","term_i","J_i","conf_k","term_k","J_k","Type","tp_ref","line_ref","","wavenumber_cm","ell","wavenumber_source"
"Ti","2","257.49096","0.00004","257.490966","0.000011","38824.687","17","","","39233.4153","78058.1017","3d2.(1D).4p","z 2P*","3/2","3d2.(3P).4d","2P","3/2","","","u37","",38824.687,10.5668115861686,"wn(cm-1)"
"Ti","2","257.36920","0.00005","257.369226","0.000012","38843.054","12","2.7e+06","C","4897.7179","43740.7678","3d2.(3F).4s","a 2F","7/2","3d2.(1G).4p","y 2G*","7/2","","T2805","u37","",38843.054,10.5672845495921,"wn(cm-1)"
"Ti","2","257.364972","0.000013","257.364976","0.000010","38843.692","332","","","30240.9396","69084.6309","3d2.(3F).4p","z 4G*","11/2","3d2.(3F).4d","f 4F","9/2","","","u37","",38843.692,10.5673009745303,"wn(cm-1)"
"Ti","2","257.264652","0.000013","257.264654","0.000007","38858.838","62","2.13e+06","B'","1215.8329","40074.6707","3d3","b 4F","9/2","3d2.(1D).4p","y 2F*","7/2","","T7385","u37","",38858.838,10.5676908202713,"wn(cm-1)"
"Ti","2","257.103223","0.000013","257.103221","0.000007","38883.235","274","1.26e+07","B+","4897.7179","43780.9533","3d2.(3F).4s","a 2F","7/2","3d2.(1G).4p","y 2G*","9/2","","T7385","u37","",38883.235,10.5683184598456,"wn(cm-1)"
"Ti","2","256.896791","0.000020","256.896772","0.000009","38914.478","29","1.65e+06","D+","8710.5675","47625.0485","3d2.(1D).4s","a 2D","3/2","3d2.(1G).4p","x 2F*","5/2","","T7385","u37","",38914.478,10.5691216454528,"wn(cm-1)"
"Ti","2","256.85322","0.00005","256.853242","0.000012","38921.079","14","","","39674.7616","78595.8371","3d2.(1D).4p","z 2P*","1/2","3d2.(3P).4d","2D","3/2","","","u37","",38921.079,10.5692912594511,"wn(cm-1)"
"Ti","2","256.72163","0.00005","256.721649","0.000011","38941.028","12","","","39602.8645","78543.8893","3d2.(1D).4p","y 2D*","3/2","3d2.(3P).4d","2D","5/2","","","u37","",38941.028,10.5698036781668,"wn(cm-1)"
"Ti","2","256.439948","0.000013","256.439943","0.000008","38983.799","246","","","29968.3304","68952.1302","3d2.(3F).4p","z 4G*","9/2","3d2.(3F).4d","f 4F","7/2","","","u37","",38983.799,10.5709014285486,"wn(cm-1)"
"Ti","2","256.41688","0.00009","256.416823","0.000006","38987.306","8","","","1087.3561","40074.6707","3d3","b 4F","7/2","3d2.(1D).4p","y 2F*","7/2","","","u37","",38987.306,10.5709913849498,"wn(cm-1)"
