element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Mn,2,"=""262.173""","=""0.0015""","=""262.17235""","=""0.00021""","=""38131.4""","=""1""","=""""",,"=""48317.83""","=""86449.30""","=""3d5.(2H).4s""","=""b 3H""","=""4""","=""3d5.(4F).4p""","=""3F*""","=""4""",,"=""""","=""L562""",
Mn,2,"=""262.284""","=""0.0015""","=""262.2843""","=""0.0003""","=""38115.3""","=""20""","=""""",,"=""49465.15""","=""87580.34""","=""3d5.(2G).4s""","=""c 3G""","=""3""","=""3d5.(a 2G).4p""","=""u 3F*""","=""4""",,"=""""","=""L562""",
Mn,1,"=""262.290""","=""""","=""""","=""""","=""38114.4""","=""140""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Mn,2,"=""262.310""","=""0.0015""","=""262.3105""","=""0.0003""","=""38111.5""","=""5""","=""1.3e+06""",C,"=""27547.26""","=""65658.65""","=""3d5.(4G).4s""","=""a 5G""","=""6""","=""3d5.(4G).4p""","=""z 5H*""","=""5""",,"=""T7259""","=""L562""",
Mn,2,"=""262.3624""","=""0.0006""","=""262.36255""","=""0.00014""","=""38103.85""","=""20""","=""""",,"=""32836.74""","=""70940.568""","=""3d5.(4D).4s""","=""b 5D""","=""1""","=""3d5.(4P).4p""","=""z 3D*""","=""2""",,"=""""","=""L562""",
Mn,1,"=""262.404""","=""""","=""""","=""""","=""38097.8""","=""150""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Mn,2,"=""262.4761""","=""0.0006""","=""262.47572""","=""0.00021""","=""38087.35""","=""40""","=""1.16e+07""",B,"=""27571.25""","=""65658.65""","=""3d5.(4G).4s""","=""a 5G""","=""5""","=""3d5.(4G).4p""","=""z 5H*""","=""5""",,"=""T7259""","=""L562""",
Mn,2,"=""262.4956""","=""0.0006""","=""262.49562""","=""0.00021""","=""38084.52""","=""10""","=""6.e+07""",D,"=""43696.217""","=""81780.73""","=""3d5.(4F).4s""","=""a 5F""","=""3""","=""3d5.(4F).4p""","=""y 5G*""","=""3""",,"=""c88""","=""L562""",
Mn,2,"=""262.5050""","=""0.0006""","=""262.50400""","=""0.00014""","=""38083.15""","=""5""","=""""",,"=""32857.27""","=""70940.568""","=""3d5.(4D).4s""","=""b 5D""","=""3""","=""3d5.(4P).4p""","=""z 3D*""","=""2""",,"=""""","=""L562""",
Mn,2,"=""262.5174""","=""0.0006""","=""262.51696""","=""0.00014""","=""38081.36""","=""40""","=""""",,"=""32859.15""","=""70940.568""","=""3d5.(4D).4s""","=""b 5D""","=""2""","=""3d5.(4P).4p""","=""z 3D*""","=""2""",,"=""""","=""L562""",
Mn,2,"=""262.5606""","=""0.0006""","=""262.56080""","=""0.00021""","=""38075.10""","=""3000""","=""2.6e+08""",B,"=""27583.59""","=""65658.65""","=""3d5.(4G).4s""","=""a 5G""","=""4""","=""3d5.(4G).4p""","=""z 5H*""","=""5""",,"=""T7259""","=""L562""",
Mn,2,"=""262.590""","=""0.0015""","=""262.58961""","=""0.00014""","=""38070.9""","=""20""","=""""",,"=""37848.225""","=""75919.107""","=""3d6""","=""a 3D""","=""2""","=""3d5.(4D).4p""","=""y 3P*""","=""2""",,"=""""","=""L562""",
Mn,2,"=""262.612""","=""0.0015""","=""262.61213""","=""0.00014""","=""38067.7""","=""30""","=""""",,"=""37851.49""","=""75919.107""","=""3d6""","=""a 3D""","=""3""","=""3d5.(4D).4p""","=""y 3P*""","=""2""",,"=""""","=""L562""",
Mn,2,"=""262.6468""","=""0.0018""","=""262.6464""","=""0.0003""","=""38062.60""","=""60D?""","=""1.4e+08""",C,"=""49517.69""","=""87580.34""","=""3d5.(2G).4s""","=""c 3G""","=""5""","=""3d5.(a 2G).4p""","=""u 3F*""","=""4""",,"=""c88""","=""L562""",
Mn,1,"=""262.664""","=""""","=""""","=""""","=""38060.1""","=""95""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Mn,2,"=""262.7058""","=""0.0006""","=""262.70557""","=""0.00021""","=""38054.05""","=""40""","=""8.e+07""",D,"=""44139.031""","=""82193.11""","=""3d5.(2D).4s""","=""c 3D""","=""1""","=""3d5.(4F).4p""","=""y 5G*""","=""2""",,"=""c88""","=""L562""",
Mn,2,"=""262.8158""","=""0.0006""","=""262.8147""","=""0.0003""","=""38038.12""","=""20""","=""""",,"=""49820.205""","=""87858.48""","=""3d5.(4F).4s""","=""c 3F""","=""2""","=""3d5.(a 2G).4p""","=""u 3F*""","=""2""",,"=""""","=""L562""",
Mn,2,"=""262.8293""","=""0.0006""","=""262.82879""","=""0.00014""","=""38036.17""","=""80""","=""1.8e+08""",C,"=""44899.851""","=""82936.09""","=""3d5.(2F).4s""","=""b 3F""","=""3""","=""3d5.(a 2F).4p""","=""w 3F*""","=""3""",,"=""c88""","=""L562""",
Mn,2,"=""262.8505""","=""0.0006""","=""262.8506""","=""0.0006""","=""38033.10""","=""30""","=""2.6e+08""",C,"=""65567.061""","=""103600.14""","=""3d5.(2D).4s""","=""c 1D""","=""2""","=""3d5.(b 2D).4p""","=""w 1D*""","=""2""",,"=""c88""","=""L562""",
Mn,2,"=""262.8768""","=""0.0006""","=""262.87669""","=""0.00021""","=""38029.29""","=""30""","=""1.3e+08""",D,"=""44745.501""","=""82774.81""","=""3d5.(2F).4s""","=""b 3F""","=""2""","=""3d5.(4F).4p""","=""x 5D*""","=""1""",,"=""c88""","=""L562""",
Mn,2,"=""262.9239""","=""0.0006""","=""262.9268""","=""0.0008""","=""38022.48""","=""20i""","=""""",,"=""70150.76""","=""108172.82""","=""3d5.(4D).4p""","=""y 5F*""","=""1""","=""3d5.(4D).5s""","=""e 3D""","=""1""",,"=""""","=""L562""",
Mn,2,"=""262.9554""","=""0.0006""","=""262.95531""","=""0.00014""","=""38017.93""","=""60""","=""""",,"=""44899.851""","=""82917.79""","=""3d5.(2F).4s""","=""b 3F""","=""3""","=""3d5.(a 2F).4p""","=""w 3F*""","=""2""",,"=""""","=""L562""",
Mn,2,"=""263.002""","=""0.0015""","=""263.0024""","=""0.0003""","=""38011.2""","=""10""","=""""",,"=""43311.324""","=""81322.46""","=""3d5.(4F).4s""","=""a 5F""","=""1""","=""3d5.(a 2D).4p""","=""x 3P*""","=""1""",,"=""""","=""L562""",
Mn,1,"=""263.026""","=""""","=""""","=""""","=""38007.7""","=""30""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Mn,1,"=""263.057""","=""""","=""""","=""""","=""38003.2""","=""60""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Mn,2,"=""263.115""","=""0.0015""","=""263.1156""","=""0.0003""","=""37994.9""","=""10""","=""""",,"=""27571.25""","=""65566.03""","=""3d5.(4G).4s""","=""a 5G""","=""5""","=""3d5.(4G).4p""","=""z 5H*""","=""4""",,"=""""","=""L562""",
Mn,2,"=""263.1771""","=""0.0006""","=""""","=""""","=""37985.89""","=""30""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L562""",
Mn,2,"=""263.2006""","=""0.0018""","=""263.1972""","=""0.0003""","=""37982.51""","=""200*""","=""1.8e+08""",D,"=""43339.452""","=""81322.46""","=""3d5.(2D).4s""","=""c 3D""","=""2""","=""3d5.(a 2D).4p""","=""x 3P*""","=""1""",,"=""c88""","=""L562""",
