"element","sp_num","obs_wl_air(nm)","unc_obs_wl","ritz_wl_air(nm)","unc_ritz_wl","wn(cm-1)","intens","Aki(s^-1)","Acc","Ei(cm-1)","Ek(cm-1)","conf_i","term_i","J_i","conf_k","term_k","J_k","Type","tp_ref","line_ref","","wavenumber_cm","ell","wavenumber_source"
"Ni","2","","","527.4110","","18955.27","","1.2e-02","E","10115.66","29070.93","3p6.3d8.(3F).4s","4F","5/2","3p6.3d8.(3P).4s","2P","3/2","M1","T4240","","",18955.27,9.84983727211171,"wn(cm-1)"
"Ni","2","","","526.9140","","18973.15","","1.2e-01","E","13550.39","32523.54","3p6.3d8.(3F).4s","2F","7/2","3p6.3d8.(1G).4s","2G","7/2","M1","T4240","","",18973.15,9.85078010080453,"wn(cm-1)"
"Ni","2","","","513.2620","","19477.80","","4.5e-04","E","10115.66","29593.46","3p6.3d8.(3F).4s","4F","5/2","3p6.3d8.(3P).4s","2P","1/2","E2","T4240","","",19477.8,9.87703063447377,"wn(cm-1)"
"Ni","2","","","506.4216","","19740.89","","1.3e-03","E","9330.04","29070.93","3p6.3d8.(3F).4s","4F","7/2","3p6.3d8.(3P).4s","2P","3/2","E2","T4240","","",19740.89,9.89044739809068,"wn(cm-1)"
"Ni","2","499.202","","","","20026.4","500","","","","","","","","","","","","","L897","",20026.4,9.90480668210203,"wn(cm-1)"
"Ni","2","","","462.8046","","21601.34","","1.9e-04","E","1506.94","23108.28","3p6.3d9","2D","3/2","3p6.3d8.(3P).4s","4P","5/2","M1","T4240","","",21601.34,9.98051062878508,"wn(cm-1)"
"Ni","2","","","457.3357","","21859.65","","4.6e-04","E","10663.89","32523.54","3p6.3d8.(3F).4s","4F","3/2","3p6.3d8.(1G).4s","2G","7/2","E2","T4240","","",21859.65,9.99239775062339,"wn(cm-1)"
"Ni","2","","","448.5211","","22289.24","","8.4e-04","E","1506.94","23796.18","3p6.3d9","2D","3/2","3p6.3d8.(1D).4s","2D","3/2","M1","T4240","","",22289.24,10.0118593297915,"wn(cm-1)"
"Ni","2","","","446.6249","","22383.87","","1.3e-04","E","10115.66","32499.53","3p6.3d8.(3F).4s","4F","5/2","3p6.3d8.(1G).4s","2G","9/2","E2","T4240","","",22383.87,10.0160958891686,"wn(cm-1)"
"Ni","2","","","446.1464","","22407.88","","9.9e-02","E","10115.66","32523.54","3p6.3d8.(3F).4s","4F","5/2","3p6.3d8.(1G).4s","2G","7/2","M1","T4240","","",22407.88,10.0171679616953,"wn(cm-1)"
"Ni","2","","","432.6237","","23108.28","","2.5e-03","E","0.00","23108.28","3p6.3d9","2D","5/2","3p6.3d8.(3P).4s","4P","5/2","M1","T4240","","",23108.28,10.0479462738435,"wn(cm-1)"
"Ni","2","","","431.4807","","23169.49","","7.3e-02","E","9330.04","32499.53","3p6.3d8.(3F).4s","4F","7/2","3p6.3d8.(1G).4s","2G","9/2","M1","T4240","","",23169.49,10.0505916059628,"wn(cm-1)"
"Ni","2","","","431.0340","","23193.50","","1.6e-01","E","9330.04","32523.54","3p6.3d8.(3F).4s","4F","7/2","3p6.3d8.(1G).4s","2G","7/2","M1","T4240","","",23193.5,10.051627345985,"wn(cm-1)"
"Ni","2","","","429.4092","","23281.26","","1.3e-03","E","1506.94","24788.20","3p6.3d9","2D","3/2","3p6.3d8.(3P).4s","4P","3/2","M1","T4240","","",23281.26,10.0554040240921,"wn(cm-1)"
"Ni","2","","","428.5306","","23328.99","","1.0e-03","E","1506.94","24835.93","3p6.3d9","2D","3/2","3p6.3d8.(3P).4s","4P","1/2","M1","T4240","","",23328.99,10.0574520721795,"wn(cm-1)"
"Ni","2","","","424.8799","","23529.44","","1.5e-03","E","1506.94","25036.38","3p6.3d9","2D","3/2","3p6.3d8.(1D).4s","2D","5/2","M1","T4240","","",23529.44,10.0660076820332,"wn(cm-1)"
"Ni","2","","","420.1172","","23796.18","","1.5e-03","E","0.00","23796.18","3p6.3d9","2D","5/2","3p6.3d8.(1D).4s","2D","3/2","M1","T4240","","",23796.18,10.0772803425757,"wn(cm-1)"
"Ni","2","","","414.7239","","24105.63","","3.2e-01","E","8393.90","32499.53","3p6.3d8.(3F).4s","4F","9/2","3p6.3d8.(1G).4s","2G","9/2","M1","T4240","","",24105.63,10.0902007021547,"wn(cm-1)"
"Ni","2","","","414.3112","","24129.64","","9.6e-03","E","8393.90","32523.54","3p6.3d8.(3F).4s","4F","9/2","3p6.3d8.(1G).4s","2G","7/2","M1","T4240","","",24129.64,10.0911962393201,"wn(cm-1)"
"Ni","2","","","403.3038","","24788.20","","3.3e-03","E","0.00","24788.20","3p6.3d9","2D","5/2","3p6.3d8.(3P).4s","4P","3/2","M1","T4240","","",24788.2,10.1181230124697,"wn(cm-1)"
