element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 21,wavenumber_cm,ell,wavenumber_source
Fe,2,310.3266,0.0005,310.325658,0.000017,32214.77,140d?,,,57411.086,89625.951,3d5.4s2,d 4P,5/2,3d5.(4P).4s.4p.(3P*),6P*,3/2,,,L18349c142,,32214.77,10.380180322015981,wn(cm-1)
Fe,2,310.2957,0.0005,310.294863,0.000018,32217.97,90d?,,,73016.184,105234.246,3d6.(1G2).4p,x 2F*,7/2,3d6.(3P2).4d,4P,5/2,,,L18349c142,,32217.97,10.38027965040098,wn(cm-1)
Fe,2,310.2713,0.0005,310.271470,0.000017,32220.51,110d?,2.2e+06,D,72619.499,104839.990,3d6.(3D).4p,w 4D*,5/2,3d6.(3F2).4d,4P,3/2,,T6892c83,L18349c143,,32220.51,10.380358485283534,wn(cm-1)
Fe,2,310.26365,0.00008,310.263506,0.000017,32221.303,500bl(Fe I),,,72651.914,104873.232,3d6.(3D).4p,w 4D*,7/2,3d6.(5D).5d,4D,7/2,,,L18349c148,,32221.303,10.380383096633311,wn(cm-1)
Fe,2,310.1885,0.0005,310.18881,0.00003,32229.11,1300,9.1e+05,D+,31811.814,64040.891,3d7,b 2F,5/2,3d6.(3F2).4p,y 4G*,7/2,,T7461,L18349c143,,32229.11,10.380625360404009,wn(cm-1)
Fe,2,310.1845,0.0005,310.184172,0.000019,32229.52,400,,,33466.4943,65696.053,3d6.(1G2).4s,c 2G,9/2,3d6.(3G).4p,x 4G*,9/2,,,L18349c142,,32229.52,10.38063808174171,wn(cm-1)
Fe,2,310.1555,0.0005,310.155077,0.000017,32232.54,180,,,72524.561,104757.143,3d6.(3D).4p,w 4D*,3/2,3d6.(5D).5d,6D,1/2,,,L18349c143,,32232.54,10.380731780267702,wn(cm-1)
Fe,2,310.0502,0.0005,310.049272,0.000016,32243.48,110d?,,,72619.499,104863.080,3d6.(3D).4p,w 4D*,5/2,3d6.(5D).5d,6P,3/2,,,L18349c143,,32243.48,10.381071131242065,wn(cm-1)
Fe,2,310.0103,0.0005,310.009860,0.000015,32247.63,40d?,,,90067.357,122315.037,3d6.(3F1).4p,4G*,9/2,3d6.(3H).6s,2H,11/2,,,L18349c143,,32247.63,10.381199831151422,wn(cm-1)
Fe,2,309.9412,0.0005,309.940849,0.000015,32254.82,40d,,,90042.804,122297.664,3d6.(5D).5p,4F*,9/2,3d6.(3H).6s,4H,7/2,,,L18349c142,,32254.82,10.38142276842062,wn(cm-1)
Fe,2,309.8933,0.0005,309.892367,0.000020,32259.81,100d?,4.1e+05,D,74606.864,106866.770,3d6.(3D).4p,x 2D*,5/2,3d6.(3F2).4d,4F,5/2,,T6892c83,L18349c143,,32259.81,10.381577462015235,wn(cm-1)
Fe,2,309.8677,0.0005,309.867574,0.000020,32262.47,110d,,,73054.913,105317.400,3d6.(1G2).4p,x 2F*,5/2,3d6.(3P2).4d,2P,3/2,,,L18349c143,,32262.47,10.381659914154294,wn(cm-1)
