element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 21,wavenumber_cm,ell,wavenumber_source
Fe,2,1736.7998,0.0007,1736.7998,0.0007,5756.144,0.2,,,122315.037,128071.181,3d6.(3H).6s,2H,11/2,3d6.(3G<3>).4f,2[5]*,11/2,,,L18349c139,,5756.144,8.658023085067505,wn(cm-1)
Fe,2,,,1736.7219,0.0010,5756.402,,2.71e-03,C,26055.4120,31811.814,3d6.(3G).4s,a 4G,5/2,3d7,b 2F,5/2,M1,T8961,,,5756.402,8.65806790573533,wn(cm-1)
Fe,1,1736.4913,0.0009,1736.4906,0.0004,5757.166,29,,,48531.865,54289.034,3d7.(4F).5s,e 3F,3,3d7.(4F).5p,3F*,3,,,L11631,,5757.166,8.658200618722498,wn(cm-1)
Fe,1,1735.9688,0.0009,1735.9692,0.0004,5758.899,17,,,45220.681,50979.579,3d6.(3P2).4s.4p.(3P*),x 3D*,3,3d6.(5D).4s (6D).4d,e 5G,4,,,L11631,,5758.899,8.65850158958591,wn(cm-1)
Fe,2,1735.9688,0.0004,1735.9686,0.0009,5758.8995,1.7bl(Fe I),4.6e+04,D+,84870.911,90629.811,3d6.(5D).4d,f 4D,5/2,3d6.(3P1).4p,4S*,3/2,,T6892c83,L18349c148,,5758.8995,8.658501676408058,wn(cm-1)
Fe,2,1735.8818,0.0008,1735.8764,0.0009,5759.188,1,,,58666.199,64425.405,3d6.(1G1).4s,d 2G,7/2,3d6.(3F2).4p,z 2F*,5/2,,,L18349c145,,5759.188,8.658551771530197,wn(cm-1)
Fe,2,1735.39027,0.00008,1735.3903,0.0003,5760.8192,33,1.4e+04,D+,82853.704,88614.523,3d6.(5D).4d,e 6F,11/2,3d5.(4P).4s.4p.(3P*),6D*,9/2,,T6892c83,L18349c139,,5760.8192,8.658834965799537,wn(cm-1)
Fe,2,1735.25743,0.00009,1735.25719,0.00012,5761.2602,3.5,,,101698.519,107459.780,3d6.(5D).6s,6D,9/2,3d5.(2F1).4s.4p.(3P*),4G*,7/2,,,L18349c139,,5761.2602,8.658911514482272,wn(cm-1)
Fe,1,1734.9689,0.0009,1734.9690,0.0007,5762.218,31,,,53925.200,59687.418,3d7.(4F).4d,f 5P,1,3d7.(4F<5/2>).4f,2[3/2]*,2,,,L11631,,5762.218,8.65907774901417,wn(cm-1)
Fe,2,1734.13633,0.00009,1734.13627,0.00015,5764.9848,4,,,107605.127,113370.112,3d6.(5D).6p,6F*,3/2,3d6.(5D).7s,6D,1/2,,,L18349c139,,5764.9848,8.65955779609951,wn(cm-1)
Fe,2,1733.85768,0.00018,1733.8518,0.0004,5765.9113,15,,,44446.9051,50212.836,3d6.(5D).4p,z 4D*,7/2,3d6.(3P1).4s,c 4P,5/2,,,L18349c145,,5765.9113,8.65971849479872,wn(cm-1)
Fe,1,1733.7990,0.0009,1733.7994,0.0004,5766.106,34,,,51076.628,56842.733,3d6.(5D).4s (6D).5p,t 5D*,4,3d6.4s.(6D).5d,7F,5,,,L11631,,5766.106,8.659752261657536,wn(cm-1)
Fe,2,1733.63022,0.00008,1733.6305,0.0003,5766.6678,29,,,108337.798,114104.465,3d6.(3G).4d,4I,15/2,3d6.(3G).5p,4H*,13/2,,,L18349c139,,5766.6678,8.659849688349533,wn(cm-1)
Fe,1,1733.4082,0.0009,1733.4077,0.0004,5767.406,50,,,50998.645,56766.053,3d6.(5D).4s (6D).4d,f 7D,2,3d6.4s.(6D<9/2>).4f,2[7/2]*,3,,,L11631,,5767.406,8.65997769169229,wn(cm-1)
Fe,2,1733.25629,0.00008,1733.25626,0.00018,5767.9119,35,1.51e+06,B+,84870.911,90638.823,3d6.(5D).4d,f 4D,5/2,3d6.(5D).5p,4D*,5/2,,T6892c83,L18349c139,,5767.9119,8.660065404923033,wn(cm-1)
Fe,2,1733.1380,0.0011,1733.1382,0.0004,5768.306,0.25,6.e+03,D,103039.222,108807.527,3d6.(3G).5s,f 4G,7/2,3d6.(3P2).5p,4P*,5/2,,T6892c83,L18349c139,,5768.306,8.660133728875229,wn(cm-1)
Fe,2,1732.72781,0.00010,1732.72754,0.00021,5769.6711,3,,,107197.107,112966.779,3d6.(5D).6p,6P*,7/2,3d5.(6S).4p2,6P,7/2,,,L18349c139,,5769.6711,8.660370356144382,wn(cm-1)
Fe,1,1732.5914,0.0009,1732.5912,0.0009,5770.125,36,,,51294.220,57064.346,3d6.(5D).4s (4D).5s,e 3D,3,3d6.4s.(6D).6p,5F*,4,,,L11631,,5770.125,8.660449023045652,wn(cm-1)
Fe,2,1732.48585,0.00009,1732.48612,0.00021,5770.4769,40,5.6e+05,B+,84296.881,90067.357,3d6.(5D).4d,e 6G,11/2,3d6.(3F1).4p,4G*,9/2,,T6892c83,L18349c139,,5770.4769,8.660510007733134,wn(cm-1)
Fe,1,1732.1732,0.0009,1732.1727,0.0004,5771.518,58,,,50979.579,56751.099,3d6.(5D).4s (6D).4d,e 5G,4,3d6.4s.(6D<9/2>).4f,2[11/2]*,5,,,L11631,,5771.518,8.660690409823387,wn(cm-1)
Fe,1,1732.1246,0.0009,1732.1238,0.0007,5771.680,42,,,48036.673,53808.356,3d7.(4F).5s,e 5F,2,3d7.(2P).4p,x 3S*,1,,,L11631,,5771.68,8.660718478301465,wn(cm-1)
Fe,2,1731.86192,0.00008,1731.8622,0.0003,5772.5558,8,,,106624.631,112397.186,3d5.(4F).4s.4p.(3P*),6F*,9/2,3d6.(5D).7s,6D,9/2,,,L18349c139,,5772.5558,8.660870207704233,wn(cm-1)
Fe,1,1731.834,0.006,1731.8325,0.0007,5772.649,302bl,,,47960.940,53733.594,3d7.(4F).5s,e 3F,4,3d6.(3D).4s.4p.(3P*),5F*,3,,,L11631,,5772.649,8.66088635293537,wn(cm-1)
Fe,2,1731.83393,0.00009,1731.83966,0.00021,5772.6491,31bl(Fe I),4.7e+05,C+,83558.569,89331.199,3d6.(5D).4d,e 6F,1/2,3d6.(5D).5p,6D*,3/2,,T6892c83,L18349c148,,5772.6491,8.660886370258439,wn(cm-1)
