element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 21,wavenumber_cm,ell,wavenumber_source
Cr,2,240.1285,0.0005,240.128701,0.000012,41631.70,2,,,63706.2511,105337.9137,3d4.(3H).4p,z 4H*,9/2,3d4.(a 3F).4d,g 4H,11/2,,,L18847,,41631.7,10.63661717529088,wn(cm-1)
Cr,2,240.04196,0.00002,240.041977,0.000017,41646.705,31,,,63600.8606,105247.563,3d4.(3H).4p,z 4H*,7/2,3d4.(3H).4d,g 4G,5/2,,,L18847,,41646.705,10.63697753282084,wn(cm-1)
Cr,2,240.02797,0.00003,240.027938,0.000012,41649.133,20,,,65680.0091,107329.1472,3d4.(3H).4p,z 2G*,9/2,3d4.(a 3F).4d,2H,11/2,,,L18847,,41649.133,10.637035831051795,wn(cm-1)
Cr,2,240.02387,0.00004,240.023839,0.000008,41649.844,29,,,32854.2497,74504.0990,3d5,b 4F,9/2,3d4.(3D).4p,w 4F*,9/2,,,L18847,,41649.844,10.637052902089774,wn(cm-1)
Cr,2,239.96968,0.00011,239.969658,0.000012,41659.248,6,,,63706.2511,105365.5034,3d4.(3H).4p,z 4H*,9/2,3d4.(3H).4d,g 4G,9/2,,,L18847,,41659.248,10.637278663763901,wn(cm-1)
Cr,2,239.96587,0.00002,239.965875,0.000010,41659.909,28,,,35610.3087,77270.2178,3d5,b 2H,9/2,3d4.(1I).4p,w 2H*,9/2,,,L18847,,41659.909,10.637294530463082,wn(cm-1)
Cr,2,239.95420,0.00005,239.954205,0.000017,41661.936,14,,,53271.007,94932.9419,3d3.4s2,c 4F,5/2,3d4.(5D).5p,4D*,3/2,,,L18847,,41661.936,10.637343185170629,wn(cm-1)
Cr,2,239.92233,0.00008,239.922207,0.000023,41667.470,7*,,,63706.2511,105373.742,3d4.(3H).4p,z 4H*,9/2,3d4.(3H).4d,2F,7/2,,,L18847,,41667.47,10.637476007430472,wn(cm-1)
Cr,2,239.91960,0.00014,239.91952,0.00012,41667.94,6,,,55626.093,97294.05,3d4.(a 3P).4s,c 4P,1/2,3d3.(4P).4s.4p.(3P*),w 4P*,3/2,,,L18847,,41667.94,10.637487287149382,wn(cm-1)
Cr,2,239.84983,0.00003,239.849805,0.000007,41680.063,17,,,25046.7144,66726.7823,3d5,b 4D,5/2,3d4.(a 3P).4p,y 4P*,5/2,,,L18847,,41680.063,10.637778187942422,wn(cm-1)
Cr,2,239.82480,0.00008,239.824751,0.000012,41684.414,7,,,53566.2511,95250.6728,3d3.4s2,c 4F,7/2,3d4.(5D).5p,4D*,7/2,,,L18847,,41684.414,10.63788257293134,wn(cm-1)
Cr,2,239.774754,0.000008,239.774746,0.000007,41693.1130,91,,,25033.6679,66726.7823,3d5,b 4D,7/2,3d4.(a 3P).4p,y 4P*,5/2,,,L18847,,41693.113,10.63809123827186,wn(cm-1)
Cr,2,239.64615,0.00015,239.646104,0.000011,41715.49,8,,,32603.3491,74318.8425,3d5,a 2F,5/2,3d4.(3D).4p,w 4F*,5/2,,,L18847,,41715.49,10.638627801641393,wn(cm-1)
Cr,2,239.56020,0.00004,239.560233,0.000023,41730.452,16,,,65542.8987,107273.344,3d4.(3H).4p,z 2G*,7/2,3d4.(a 3P).4d,2F,5/2,,,L18847,,41730.452,10.638986405063003,wn(cm-1)
Cr,2,239.398129,0.000013,239.398107,0.000011,41758.700,92,,,32355.6538,74114.3577,3d5,a 2F,7/2,3d4.(a 1G).4p,x 2F*,7/2,,,L18847,,41758.7,10.639663091803763,wn(cm-1)
Cr,2,239.33432,0.00018,239.3345,0.0003,41769.83,4,,,55398.6704,97168.47,3d4.(a 3P).4s,c 4P,3/2,3d3.(4P).4s.4p.(3P*),w 4P*,1/2,,,L18847,,41769.83,10.639929587576308,wn(cm-1)
Cr,2,239.28098,0.00010,239.280928,0.000011,41779.143,5,,,42897.9553,84677.1075,3d4.(3D).4s,b 2D,5/2,3d4.(1F).4p,u 2F*,7/2,,,L18847,,41779.143,10.64015252269338,wn(cm-1)
