element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 21,wavenumber_cm,ell,wavenumber_source
Ni,2,333.809,,,,29948.6,500,,,,,,,,,,,,,L897,,29948.6,10.307237857876743,wn(cm-1)
Ni,2,333.564,,,,29970.6,400,,,,,,,,,,,,,L897,,29970.6,10.307972180130331,wn(cm-1)
Ni,2,333.188,,,,30004.5,2000,,,,,,,,,,,,,L897,,30004.5,10.309102649395417,wn(cm-1)
Ni,2,330.571,,,,30242.0,400,,,,,,,,,,,,,L897,,30242.0,10.316986965672614,wn(cm-1)
Ni,2,329.760,,,,30316.4,500,,,,,,,,,,,,,L897,,30316.4,10.319444099197693,wn(cm-1)
Ni,2,329.287,,,,30359.9,400,,,,,,,,,,,,,L897,,30359.9,10.3208779376965,wn(cm-1)
Ni,2,,,322.3149,,31016.60,,3.5e+00,E,1506.94,32523.54,3p6.3d9,2D,3/2,3p6.3d8.(1G).4s,2G,7/2,E2,T4240,,,31016.6,10.342277824017925,wn(cm-1)
Ni,2,,,307.6074,,32499.53,,4.6e+00,E,0.00,32499.53,3p6.3d9,2D,5/2,3p6.3d8.(1G).4s,2G,9/2,E2,T4240,,,32499.53,10.388980906674798,wn(cm-1)
Ni,2,,,307.3803,,32523.54,,3.5e-01,E,0.00,32523.54,3p6.3d9,2D,5/2,3p6.3d8.(1G).4s,2G,7/2,E2,T4240,,,32523.54,10.389719413825913,wn(cm-1)
Ni,2,286.402,,,,34905.7,500,,,,,,,,,,,,,L897,,34905.7,10.460405418636876,wn(cm-1)
Ni,2,,,263.0278,,38007.46,,6.8e+05,C,13550.39,51557.85,3p6.3d8.(3F).4s,2F,7/2,3p6.3d8.(3F).4p,4D*,7/2,,T1024n,,,38007.46,10.545537735230573,wn(cm-1)
Ni,2,261.506,,,,38228.6,500,,,,,,,,,,,,,L897,,38228.6,10.551339205564773,wn(cm-1)
