"element","sp_num","obs_wl_air(nm)","unc_obs_wl","ritz_wl_air(nm)","unc_ritz_wl","wn(cm-1)","intens","Aki(s^-1)","Acc","Ei(cm-1)","Ek(cm-1)","conf_i","term_i","J_i","conf_k","term_k","J_k","Type","tp_ref","line_ref","","wavenumber_cm","ell","wavenumber_source"
"Fe","2","484.32960","0.00003","484.32966","0.00003","20641.3297","1100","1.2e+05","D","61093.406","81734.733","3d6.(3P2).4p","z 2D*","5/2","3d5.4s2","2F2","7/2","","T6892c83","L18349c139","",20641.3297,9.93505064097001,"wn(cm-1)"
"Fe","2","","","483.998677","0.000019","20655.4424","","4.e+02","E","21581.6151","42237.0575","3d6.(3H).4s","a 4H","9/2","3d6.(5D).4p","z 6F*","7/2","","T6892c83","","",20655.4424,9.93573411814422,"wn(cm-1)"
"Fe","2","483.85511","0.00020","483.855065","0.000021","20661.571","70","7.0e+05","D+","83308.241","103969.814","3d6.(5D).4d","e 6F","5/2","3d6.(5D<1>).4f","2[3]*","7/2","","T6892c83","L18349c139","",20661.571,9.93603078044096,"wn(cm-1)"
"Fe","2","","","483.319175","0.000014","20684.4816","","5.e+02","E","21430.3564","42114.8380","3d6.(3H).4s","a 4H","11/2","3d6.(5D).4p","z 6F*","9/2","","T6892c83","","",20684.4816,9.9371390169426,"wn(cm-1)"
"Fe","2","483.12016","0.00005","483.12005","0.00004","20693.002","700bl(Fe II)*","","","83812.352","104505.359","3d6.(5D).4d","6D","5/2","3d5.(2D3).4s.4p.(3P*)","4F*","3/2","","","L18349c148","",20693.002,9.93755085446286,"wn(cm-1)"
"Fe","2","482.91081","0.00014","482.910829","0.000021","20701.973","60","1.8e+06","D+","82978.717","103680.689","3d6.(5D).4d","e 6F","9/2","3d6.(5D<2>).4f","2[5]*","9/2","","T6892c83","L18349c139","",20701.973,9.93798428872103,"wn(cm-1)"
"Fe","2","482.66825","0.00003","482.668232","0.000023","20712.3761","500","7.5e+06","C+","82978.717","103691.094","3d6.(5D).4d","e 6F","9/2","3d6.(5D<2>).4f","2[5]*","11/2","","T6892c83","L18349c139","",20712.3761,9.93848667982194,"wn(cm-1)"
"Fe","2","482.61366","0.00013","482.613638","0.000021","20714.719","80","2.6e+06","D+","83308.241","104022.961","3d6.(5D).4d","e 6F","5/2","3d6.(5D<0>).4f","2[3]*","7/2","","T6892c83","L18349c139","",20714.719,9.93859978937001,"wn(cm-1)"
"Fe","2","482.60749","0.00004","482.60721","0.00003","20714.9838","34","","","103706.526","124421.522","3d6.(3H).4d","4K","15/2","3d6.(3F2<4>).4f","2[7]*","15/2","","","L18349c139","",20714.9838,9.9386125724692,"wn(cm-1)"
"Fe","2","482.08278","0.00004","482.082739","0.000021","20737.5304","330","5.4e+06","C+","83136.508","103874.040","3d6.(5D).4d","e 6F","7/2","3d6.(5D<1>).4f","2[4]*","9/2","","T6892c83","L18349c139","",20737.5304,9.93970040044096,"wn(cm-1)"
