element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Cr,1,"=""606.847""","=""0.004""","=""606.8435""","=""0.0007""","=""16474.06""","=""10""","=""""",,"=""38730.6379""","=""55204.79""","=""3d4.(5D).4s.4p.(3P*)""","=""z 3D*""","=""2""","=""3d4.4s.5s""","=""e 3D""","=""3""",,"=""""","=""L808""",
Cr,2,"=""607.1929""","=""0.0003""","=""607.19291""","=""0.00011""","=""16464.672""","=""7""","=""""",,"=""89325.2787""","=""105789.9509""","=""3d4.(5D).4d""","=""e 4G""","=""9/2""","=""3d4.(5D<4>).4f""","=""2[4]*""","=""9/2""",,"=""""","=""L18847""",
Cr,1,"=""608.774""","=""0.004""","=""608.77577""","=""0.00006""","=""16421.91""","=""5""","=""""",,"=""31364.2327""","=""47786.0959""","=""3d5.(4F).4s""","=""a 5F""","=""3""","=""3d5.(4P).4p""","=""v 5D*""","=""2""",,"=""""","=""L808""",
Cr,1,"=""609.839""","=""0.004""","=""609.83999""","=""0.00015""","=""16393.23""","=""3""","=""""",,"=""33060.661""","=""49453.867""","=""3d5.(2F1).4s""","=""b 3F""","=""3""","=""3d4.(3F1).4s.4p.(3P*)""","=""w 3G*""","=""4""",,"=""""","=""L808""",
Cr,1,"=""609.954""","=""0.004""","=""609.9595""","=""0.0011""","=""16390.14""","=""5""","=""""",,"=""40971.2599""","=""57361.253""","=""3d4.(5D).4s.4p.(1P*)""","=""y 5F*""","=""2""","=""3d5.(4G).5s""","=""e 5G""","=""3""",,"=""""","=""L808""",
Cr,1,"=""610.420""","=""0.004""","=""610.42206""","=""0.00015""","=""16377.63""","=""5""","=""""",,"=""38596.9917""","=""54974.566""","=""3d4.(5D).4s.4p.(3P*)""","=""z 3D*""","=""1""","=""3d4.4s.5s""","=""e 3D""","=""2""",,"=""""","=""L808""",
Cr,2,"=""612.11121""","=""0.00017""","=""612.11144""","=""0.00011""","=""16332.380""","=""5""","=""""",,"=""89277.9218""","=""105610.2955""","=""3d4.(5D).4d""","=""e 4P""","=""3/2""","=""3d4.(5D<3>).4f""","=""2[2]*""","=""3/2""",,"=""""","=""L18847""",
Cr,1,"=""612.217""","=""0.004""","=""612.21160""","=""0.00023""","=""16329.56""","=""7""","=""""",,"=""33934.757""","=""50264.4589""","=""3d4.4s2""","=""c 3D""","=""3""","=""3d5.(4D).4p""","=""w 3D*""","=""3""",,"=""""","=""L808""",
Cr,1,"=""612.249""","=""0.004""","=""612.24369""","=""0.00023""","=""16328.70""","=""5""","=""""",,"=""33935.613""","=""50264.4589""","=""3d4.4s2""","=""c 3D""","=""2""","=""3d5.(4D).4p""","=""w 3D*""","=""3""",,"=""""","=""L808""",
Cr,2,"=""612.8219""","=""0.0003""","=""612.82177""","=""0.00011""","=""16313.438""","=""3""","=""""",,"=""89325.2787""","=""105638.7217""","=""3d4.(5D).4d""","=""e 4G""","=""9/2""","=""3d4.(5D<3>).4f""","=""2[5]*""","=""11/2""",,"=""""","=""L18847""",
