element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ni,4,"=""""","=""""","=""611.79""","=""""","=""16341.0""","=""""","=""4.7e-03""",E,"=""27096.5""","=""43437.5""","=""3p6.3d7""","=""2D2""","=""5/2""","=""3p6.3d7""","=""2F""","=""5/2""",E2,"=""T4605""","=""""",
Ni,4,"=""""","=""""","=""611.93""","=""""","=""16337.3""","=""""","=""3.3e-02""",E,"=""2621.1""","=""18958.4""","=""3p6.3d7""","=""4F""","=""3/2""","=""3p6.3d7""","=""4P""","=""1/2""",E2,"=""T4605""","=""""",
Ni,1,"=""""","=""""","=""611.9757""","=""""","=""16335.997""","=""""","=""2.7e+06""",D,"=""34408.555""","=""50744.552""","=""3d8.(3F).4s.4p.(3P*)""","=""3D*""","=""1""","=""3d8.4s.(4F).5s""","=""5F""","=""1""",,"=""T4287""","=""""",
Ni,4,"=""""","=""""","=""612.41""","=""""","=""16324.3""","=""""","=""1.8e-03""",E,"=""2042.5""","=""18366.8""","=""3p6.3d7""","=""4F""","=""5/2""","=""3p6.3d7""","=""4P""","=""3/2""",M1,"=""T4605""","=""""",
Ni,4,"=""""","=""""","=""612.41""","=""""","=""16324.3""","=""""","=""2.0e-02""",E,"=""2042.5""","=""18366.8""","=""3p6.3d7""","=""4F""","=""5/2""","=""3p6.3d7""","=""4P""","=""3/2""",E2,"=""T4605""","=""""",
Ni,1,"=""""","=""""","=""612.8973""","=""""","=""16311.432""","=""""","=""1.2e+04""",D+,"=""13521.347""","=""29832.779""","=""3d8.(1D).4s2""","=""1D""","=""2""","=""3d8.(3F).4s.4p.(3P*)""","=""5F*""","=""3""",,"=""T4812""","=""""",
Ni,1,"=""""","=""""","=""613.0135""","=""""","=""16308.341""","=""""","=""6.5e+06""",D,"=""34408.555""","=""50716.896""","=""3d8.(3F).4s.4p.(3P*)""","=""3D*""","=""1""","=""3d9.(2D<3/2>).4d""","=""2[3/2]""","=""1""",,"=""T4287""","=""""",
Ni,27,"=""""","=""""","=""632""","=""6""","=""15810""","=""""","=""4.7e+06""",E,"=""(79741960)""","=""(79757768)""","=""1s.5s""","=""3S""","=""1""","=""1s.5p""","=""3P*""","=""1""",,"=""T5298""","=""L11926""",
Ni,1,"=""""","=""""","=""613.3963""","=""""","=""16298.164""","=""""","=""3.7e+05""",D,"=""32973.376""","=""49271.540""","=""3d8.(3F).4s.4p.(3P*)""","=""3F*""","=""4""","=""3d9.(2D<5/2>).4d""","=""2[5/2]""","=""3""",,"=""T4287""","=""""",
Ni,1,"=""""","=""""","=""617.5367""","=""""","=""16188.891""","=""""","=""1.7e+07""",D,"=""32982.260""","=""49171.151""","=""3d9.(2D).4p""","=""1P*""","=""1""","=""3d9.(2D<5/2>).4d""","=""2[3/2]""","=""1""",,"=""T4287""","=""""",
Ni,1,"=""617.681""","=""""","=""617.6811""","=""""","=""16185.1""","=""10""","=""4.7e+06""",D,"=""32973.376""","=""49158.480""","=""3d8.(3F).4s.4p.(3P*)""","=""3F*""","=""4""","=""3d9.(2D<5/2>).4d""","=""2[9/2]""","=""5""",,"=""T2765""","=""L3475""",
Ni,1,"=""""","=""""","=""617.7242""","=""""","=""16183.977""","=""""","=""1.8e+04""",D,"=""14728.840""","=""30912.817""","=""3d10""","=""1S""","=""0""","=""3d9.(2D).4p""","=""3D*""","=""1""",,"=""T4287""","=""""",
Ni,4,"=""""","=""""","=""617.84""","=""""","=""16181.0""","=""""","=""1.6e-03""",E,"=""27677.6""","=""43858.6""","=""3p6.3d7""","=""2H""","=""9/2""","=""3p6.3d7""","=""2F""","=""7/2""",M1,"=""T4605""","=""""",
Ni,4,"=""""","=""""","=""617.84""","=""""","=""16181.0""","=""""","=""4.4e-03""",E,"=""27677.6""","=""43858.6""","=""3p6.3d7""","=""2H""","=""9/2""","=""3p6.3d7""","=""2F""","=""7/2""",E2,"=""T4605""","=""""",
Ni,1,"=""""","=""""","=""618.6711""","=""""","=""16159.206""","=""""","=""2.7e+06""",D,"=""33112.334""","=""49271.540""","=""3d8.(3F).4s.4p.(3P*)""","=""3F*""","=""3""","=""3d9.(2D<5/2>).4d""","=""2[5/2]""","=""3""",,"=""T4287""","=""""",
Ni,1,"=""619.118""","=""""","=""""","=""""","=""16147.5""","=""10""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Ni,1,"=""""","=""""","=""619.8625""","=""""","=""16128.148""","=""""","=""4.6e+05""",D,"=""34408.555""","=""50536.703""","=""3d8.(3F).4s.4p.(3P*)""","=""3D*""","=""1""","=""3d9.(2D<3/2>).4d""","=""2[1/2]""","=""1""",,"=""T4287""","=""""",
Ni,1,"=""""","=""""","=""620.4604""","=""""","=""16112.606""","=""""","=""1.4e+06""",D,"=""32973.376""","=""49085.982""","=""3d8.(3F).4s.4p.(3P*)""","=""3F*""","=""4""","=""3d8.4s.(4F).5s""","=""5F""","=""4""",,"=""T4287""","=""""",
Ni,4,"=""""","=""""","=""621.87""","=""""","=""16076.1""","=""""","=""2.0e-03""",E,"=""2042.5""","=""18118.6""","=""3p6.3d7""","=""4F""","=""5/2""","=""3p6.3d7""","=""4P""","=""5/2""",M1,"=""T4605""","=""""",
Ni,4,"=""""","=""""","=""621.87""","=""""","=""16076.1""","=""""","=""2.7e-03""",E,"=""2042.5""","=""18118.6""","=""3p6.3d7""","=""4F""","=""5/2""","=""3p6.3d7""","=""4P""","=""5/2""",E2,"=""T4605""","=""""",
Ni,1,"=""""","=""""","=""622.3984""","=""""","=""16062.436""","=""""","=""2.0e+06""",D,"=""33112.334""","=""49174.770""","=""3d8.(3F).4s.4p.(3P*)""","=""3F*""","=""3""","=""3d9.(2D<5/2>).4d""","=""2[9/2]""","=""4""",,"=""T4287""","=""""",
