element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ti,2,"=""210.907""","=""""","=""210.906545""","=""0.000007""","=""47399.2""","=""0:""","=""""",,"=""225.7039""","=""47625.0485""","=""3d2.(3F).4s""","=""a 4F""","=""7/2""","=""3d2.(1G).4p""","=""x 2F*""","=""5/2""",,"=""""","=""L5432""",
Ti,2,"=""211.00597""","=""0.00006""","=""211.005961""","=""0.000007""","=""47377.014""","=""8""","=""""",,"=""24961.1910""","=""72338.2060""","=""3d.4s2""","=""c 2D""","=""3/2""","=""3d2.(3F).5p""","=""4D*""","=""3/2""",,"=""""","=""u37""",
Ti,1,"=""211.38076""","=""0.00018""","=""211.38084""","=""0.00004""","=""47293.02""","=""00""","=""""",,"=""170.1328""","=""47463.135""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d3.(2F).4p""","=""p 3F*""","=""4""",,"=""""","=""L10989""",
Ti,2,"=""211.534147""","=""0.000018""","=""211.534148""","=""0.000008""","=""47258.732""","=""25""","=""""",,"=""25192.9650""","=""72451.6968""","=""3d.4s2""","=""c 2D""","=""5/2""","=""3d2.(3F).5p""","=""4D*""","=""5/2""",,"=""""","=""u37""",
Ti,2,"=""211.614""","=""""","=""211.613359""","=""0.000006""","=""47240.8""","=""0:""","=""""",,"=""225.7039""","=""47466.7479""","=""3d2.(3F).4s""","=""a 4F""","=""7/2""","=""3d2.(1G).4p""","=""x 2F*""","=""7/2""",,"=""""","=""L5432""",
Ti,14,"=""""","=""""","=""211.712""","=""""","=""47219""","=""""","=""9.1e-02""",D,"=""0""","=""47219""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p5""","=""2P*""","=""1/2""",E2,"=""T3941""","=""""",
Ti,14,"=""211.715""","=""""","=""211.71+""","=""""","=""47218.4""","=""""","=""1.89e+03""",B,"=""0""","=""47219""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p5""","=""2P*""","=""1/2""",M1,"=""T3941""","=""L6502""",
Ti,1,"=""211.85342""","=""0.00018""","=""211.85348""","=""0.00004""","=""47187.52""","=""5""","=""""",,"=""0.000""","=""47187.507""","=""3d2.4s2""","=""a 3F""","=""2""","=""3d3.(2F).4p""","=""p 3F*""","=""2""",,"=""""","=""L10989""",
Ti,2,"=""212.04340""","=""0.00011""","=""212.043426""","=""0.000008""","=""47145.25""","=""4""","=""""",,"=""25192.9650""","=""72338.2060""","=""3d.4s2""","=""c 2D""","=""5/2""","=""3d2.(3F).5p""","=""4D*""","=""3/2""",,"=""""","=""u37""",
Ti,1,"=""212.19432""","=""0.00018""","=""212.19416""","=""0.00004""","=""47111.72""","=""6""","=""""",,"=""170.1328""","=""47281.887""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d3.(2F).4p""","=""p 3F*""","=""3""",,"=""""","=""L10989""",
Ti,1,"=""212.35489""","=""0.00018""","=""212.35417""","=""0.00004""","=""47076.10""","=""10""","=""""",,"=""386.874""","=""47463.135""","=""3d2.4s2""","=""a 3F""","=""4""","=""3d3.(2F).4p""","=""p 3F*""","=""4""",,"=""""","=""L10989""",
Ti,2,"=""212.368""","=""""","=""212.367516""","=""0.000006""","=""47073.1""","=""0:""","=""""",,"=""393.4459""","=""47466.7479""","=""3d2.(3F).4s""","=""a 4F""","=""9/2""","=""3d2.(1G).4p""","=""x 2F*""","=""7/2""",,"=""""","=""L5432""",
Ti,3,"=""212.958""","=""""","=""212.9572+""","=""""","=""46942.8""","=""1""","=""""",,"=""83796.86""","=""130739.82""","=""3p6.3d.4p""","=""1P*""","=""1""","=""3p6.3d.4d""","=""3S""","=""1""",,"=""""","=""L3593""",
Ti,2,"=""213.01451""","=""0.00009""","=""213.014540""","=""0.000011""","=""46930.341""","=""5""","=""""",,"=""9395.8020""","=""56326.1371""","=""3d3""","=""a 4P""","=""3/2""","=""3d.(2D).4s.4p.(3P*)""","=""y 4P*""","=""5/2""",,"=""""","=""u37""",
